DIPLOMA_DI_LAUREA_DL;RIFERIMENTO_NORMATIVO;ID_DM509;LAUREA_SPECIALISTICA_DM509;ID_DM270;LAUREA_MAGISTRALE_DM270
Architettura;Tabella XXX del regio decreto 30.9.1938 n.1652 come modificata dal D.M. 24.2.1993, in G.U.n.153 del 2.7.1993;3/S;Architettura del paesaggio;LM-3;Architettura del paesaggio
Architettura;Tabella XXX del regio decreto 30.9.1938 n.1652 come modificata dal D.M. 24.2.1993, in G.U.n.153 del 2.7.1993;4/S;Architettura e ingegneria edile;LM-4;Architettura e ingegneria edile- architettura
Astronomia;Tabella XXII-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 5.6.1995 in G.U. n. 267 del 15.11.1995 e D.M. 19.7.1996 in G.U. n. 226 del 26.9.1996;20/S;Fisica;LM-17;Fisica
Astronomia;Tabella XXII-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 5.6.1995 in G.U. n. 267 del 15.11.1995 e D.M. 19.7.1996 in G.U. n. 226 del 26.9.1996;66/S;Scienze dell’universo;LM-58;Scienze dell'universo
Biotecnologie agro-industriali;Tabella XXXVIII del regio decreto 30.9.1938 n.1652, aggiunta dal D.M. 23.11.1991, in G.U. n. 109 del 12.5.1992;7/S;Biotecnologie agrarie;LM-7;Biotecnologie agrarie
Biotecnologie agro-industriali;Tabella XXXVIII del regio decreto 30.9.1938 n.1652, aggiunta dal D.M. 23.11.1991, in G.U. n. 109 del 12.5.1992;8/S;Biotecnologie industriali;LM-8;Biotecnologie industriali
Biotecnologie indirizzo Biotecnologie agrarie vegetali;Tabella XXIV-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 12.3.1994 in G.U. n. 192 del 18.8.1994 e dal D.M. 19.10.1995 in G.U. n. 296 del 20.12.1995;7/S;Biotecnologie agrarie;LM-7;Biotecnologie agrarie
Biotecnologie indirizzo Biotecnologie farmaceutiche;Tabella XXIV-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 12.3.1994 in G.U. n. 192 del 18.8.1994 e dal D.M. 19.10.1995 in G.U. n. 296 del 20.12.1995;9/S;Biotecnologie mediche, veterinarie e farmaceutiche;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche
Biotecnologie indirizzo Biotecnologie industriali;Tabella XXIV-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 12.3.1994 in G.U. n. 192 del 18.8.1994 e dal D.M. 19.10.1995 in G.U. n. 296 del 20.12.1995;8/S;Biotecnologie industriali;LM-8;Biotecnologie industriali
Biotecnologie indirizzo Biotecnologie mediche;Tabella XXIV-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 12.3.1994 in G.U. n. 192 del 18.8.1994 e dal D.M. 19.10.1995 in G.U. n. 296 del 20.12.1995;9/S;Biotecnologie mediche, veterinarie e farmaceutiche;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche
Biotecnologie indirizzo Biotecnologie veterinarie;Tabella XXIV-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 12.3.1994 in G.U. n. 192 del 18.8.1994 e dal D.M. 19.10.1995 in G.U. n. 296 del 20.12.1995;9/S;Biotecnologie mediche, veterinarie e farmaceutiche;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche
Chimica;Tabella XIX del regio decreto 30.9.1938 n.1652 come modificata dal DM 22.5.1995 in G.U. n. 166 del 18.7.1995;62/S;Scienze chimiche;LM-54;Scienze chimiche
Chimica e Tecnologie Farmaceutiche o Chimica e tecnologia farmaceutiche;Tabella XXVII-bis del regio decreto 30.9.1938 n.1652 come modificata dal DM 30.6.1995 in G.U. n. 41 del 19.2.1996;14/S;Farmacia e farmacia industriale;LM-13;Farmacia e farmacia industriale
Chimica Industriale;Tabella XX del regio decreto 30.9.1938 n.1652 come modificato dal DM 22.5.1995 in G.U. n. 166 del 18.7.1995 e D.M. 16.2.1996 in G.U. n. 88 del 15.4.1996.;81/S;Scienze e tecnologie della chimica industriale;LM-71;Scienze e tecnologie della chimica industriale
Comunicazione Internazionale;Università per stranieri Perugia - Decreto Rett. n. 18 del 4.2.2000;43/S;Lingue straniere per la comunicazione internazionale;LM-38;Lingue moderne per la comunicazione e la cooperazione
Conservazione dei beni culturali;Tab. XIII-ter del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. n. 484 del 22.7.1983 in G.U. n. 254 del 15.9.83 e dal DM 21.10.1991 in G.U. n.93 del;1/S;Antropologia culturale ed etnologia;LM-1;Antropologia culturale ed etnologia
Conservazione dei beni culturali;Tab. XIII-ter del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. n. 484 del 22.7.1983 in G.U. n. 254 del 15.9.83 e dal DM 21.10.1991 in G.U. n.93 del;2/S;Archeologia;LM-2;Archeologia
Conservazione dei beni culturali;Tab. XIII-ter del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. n. 484 del 22.7.1983 in G.U. n. 254 del 15.9.83 e dal DM 21.10.1991 in G.U. n.93 del;5/S;Archivistica e biblioteconomia;LM-5;Archivistica e biblioteconomia
Conservazione dei beni culturali;Tab. XIII-ter del regio decreto 30.9.1938 n.1652 come modificata dal D.P.R. n. 484 del 22.7.1983 in G.U. n. 254 del 15.9.83 e dal DM 21.10.1991 in G.U. n.93 del;10/S;Conservazione dei beni architettonici e ambientali;LM-10;Conservazione dei beni architettonici e ambientali
